Rank,Symbol,Rating,Name,Score,3 Months Perf,Creation date
965,RLAY,BB,"Relay Therapeutics, Inc. - Common Stock",97.491,9.38,12/15/2020
964,SEE,BB,Sealed Air Corporation Common Stock,97.491,14.08,11/15/2020
966,SPLK,BB,Splunk Inc. - Common Stock,97.49,-4.15,12/12/2020
967,AXTA,BB,Axalta Coating Systems Ltd. Common Shares,97.478,21.87,12/13/2020
968,TSCO,BB,Tractor Supply Company - Common Stock,97.465,5.61,10/24/2020
969,JAZZ,BB,Jazz Pharmaceuticals plc - Ordinary Shares,97.451,5.42,12/7/2020
970,TEX,BB,Terex Corporation Common Stock,97.407,67.66,12/7/2020
971,WBA,BB,"Walgreens Boots Alliance, Inc. - Common Stock",97.406,9.17,12/9/2020
972,VGR,BB,Vector Group Ltd. Common Stock,97.405,27,12/17/2020
973,TDC,BB,Teradata Corporation Common Stock,97.405,1.29,12/12/2020
974,SQM,BB,Sociedad Quimica y Minera S.A. Common Stock,97.371,38.29,11/18/2020
975,CLX,BB,Clorox Company (The) Common Stock,97.365,-2.92,11/15/2020
976,LEN,BB,Lennar Corporation Class A Common Stock,97.353,1.2,12/15/2020
977,lscc,BB,Lattice Semiconductor Corporation - Common Stock,97.352,59.81,12/2/2020
978,PJT,BB,PJT Partners Inc. Class A Common Stock,97.352,29.89,12/17/2020
979,NFE,BB,New Fortress Energy LLC - Class A Shares Represen,97.342,28.32,12/17/2020
980,XLRN,BB,Acceleron Pharma Inc. - Common Stock,97.34,20.24,12/16/2020
981,BSX,BB,Boston Scientific Corporation Common Stock,97.334,-12.61,11/25/2020
982,AIMC,BB,Altra Industrial Motion Corp. - Common Stock,97.328,48.08,12/4/2020
983,EAF,BB,GrafTech International Ltd. Common Stock,97.324,10.34,12/17/2020
984,PFSI,BB,"PennyMac Financial Services, Inc. Class A Common",97.312,9.9,12/13/2020
985,GHG,BB,GreenTree Hospitality Group Ltd. American deposit,97.297,-0.08,12/15/2020
986,OLED,BB,Universal Display Corporation - Common Stock,97.296,46.64,12/18/2020
